UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS,18-20,21-29,30-39,40-49,50-59,60-69,70-79,80-89,90 AND ABOVE,MALE ELECTORS,WOMEN ELECTORS
P. 052,PULAU PINANG,P. 052,BAYAN BARU,121898,6528,22375,25923,22448,18506,15524,8054,2200,340,59198,62700
P. 053,PULAU PINANG,P. 053,BALIK PULAU,82921,5434,17738,17234,14207,12804,9507,4438,1318,241,41330,41591
P. 054,PERAK,P. 054,GERIK,48114,3250,11390,11988,8121,5809,4584,2122,698,152,25154,22960
P. 055,PERAK,P. 055,LENGGONG,37065,1995,6893,9115,6785,4784,4214,2311,794,174,18328,18737
P. 056,PERAK,P. 056,LARUT,66051,3824,13691,15197,11898,9002,7008,3881,1317,233,32469,33582
P. 057,PERAK,P. 057,PARIT BUNTAR,68573,3634,13227,14078,12808,11010,7974,4257,1294,291,34324,34249
P. 058,PERAK,P. 058,BAGAN SERAI,80854,4901,16740,17697,14514,12165,8482,4554,1473,328,40142,40712
P. 059,PERAK,P. 059,BUKIT GANTANG,94817,5256,19100,22200,17012,13036,10906,5473,1530,304,46767,48050
P. 060,PERAK,P. 060,TAIPING,121011,5387,21851,27038,20259,16097,16165,9949,3477,788,59442,61569
P. 061,PERAK,P. 061,PADANG RENGAS,38712,1868,7135,8586,6761,5639,4823,2627,1057,216,19171,19541
P. 062,PERAK,P. 062,SUNGAI SIPUT,72594,3841,13777,14826,13226,11220,8811,4759,1775,359,36142,36452
P. 063,PERAK,P. 063,TAMBUN,164303,11050,36985,37311,28262,22140,17483,8422,2272,378,81263,83040
P. 064,PERAK,P. 064,IPOH TIMOR,117619,4291,16191,20607,20429,18409,17971,12811,5501,1409,57858,59761
P. 065,PERAK,P. 065,IPOH BARAT,114283,4711,18261,20867,19497,18274,16726,10729,4112,1106,55909,58374
P. 066,PERAK,P. 066,BATU GAJAH,112448,5547,19565,19905,20324,18666,15317,9234,3311,579,56713,55735
P. 067,PERAK,P. 067,KUALA KANGSAR,46936,2367,8941,10292,8302,6639,5690,3153,1254,298,23141,23795
P. 068,PERAK,P. 068,BERUAS,108515,5842,19982,22123,19470,16083,13625,7992,2750,648,54577,53938
P. 069,PERAK,P. 069,PARIT,48436,2881,9982,10894,8364,6946,5580,2621,969,199,24023,24413
P. 070,PERAK,P. 070,KAMPAR,89494,3910,14273,16478,15736,14820,12939,7533,3090,715,45288,44206
P. 071,PERAK,P. 071,GOPENG,146167,8899,31413,30827,24839,21081,17013,8667,2918,510,72257,73910
P. 072,PERAK,P. 072,TAPAH,62158,3245,11882,14126,10809,8595,7566,4003,1546,386,31140,31018
P. 073,PERAK,P. 073,PASIR SALAK,75276,4387,15395,17742,13795,10430,7453,4336,1437,301,37531,37745
P. 074,PERAK,P. 074,LUMUT,96261,6303,23365,23278,17085,11414,9418,4151,991,256,50803,45458
P. 075,PERAK,P. 075,BAGAN DATUK,57759,2702,10455,14039,10403,7913,6656,4028,1222,341,29096,28663
P. 076,PERAK,P. 076,TELUK INTAN,86950,4140,15897,19454,14992,11864,11094,6680,2245,584,42495,44455
P. 077,PERAK,P. 077,TANJONG MALIM,94398,5007,17671,21843,17865,12071,10502,6963,1977,499,47318,47080
P. 078,PAHANG,P. 078,CAMERON HIGHLANDS,47245,3367,10366,10770,8196,6175,4673,2552,886,260,23920,23325
P. 079,PAHANG,P. 079,LIPIS,47550,2780,9895,11451,7897,6308,5358,2610,1017,234,24140,23410
P. 080,PAHANG,P. 080,RAUB,75636,3896,13767,17522,13162,10700,9377,5058,1819,335,38319,37317
P. 081,PAHANG,P. 081,JERANTUT,88328,5598,17822,21716,17390,11222,7698,5268,1424,190,44291,44037
P. 082,PAHANG,P. 082,INDERA MAHKOTA,124647,10331,31635,29105,20637,15261,11754,4605,1128,191,62324,62323
P. 083,PAHANG,P. 083,KUANTAN,89314,5579,18902,19666,14586,12629,10624,5351,1628,349,45023,44291
P. 084,PAHANG,P. 084,PAYA BESAR,81722,5858,18118,19968,14501,10214,7974,3921,1035,133,40517,41205
P. 085,PAHANG,P. 085,PEKAN,124075,8704,28662,33437,22913,13994,10390,4557,1146,272,63432,60643
P. 086,PAHANG,P. 086,MARAN,53856,3365,10281,12393,10824,8112,4344,3224,1175,138,26910,26946
P. 087,PAHANG,P. 087,KUALA KRAU,61266,3748,11376,15582,13149,7179,5248,4051,825,108,30279,30987
P. 088,PAHANG,P. 088,TEMERLOH,108853,7013,24733,26629,18381,14025,11032,5145,1576,319,54672,54181
P. 089,PAHANG,P. 089,BENTONG,87973,4701,16201,19419,15991,12960,10476,5874,2041,310,44880,43093
P. 090,PAHANG,P. 090,BERA,77214,4373,14774,19446,15073,10048,7403,4688,1250,159,39251,37963
P. 091,PAHANG,P. 091,ROMPIN,91014,5917,19524,25731,16785,9105,8949,4226,653,124,45319,45695
P. 092,SELANGOR,P. 092,SABAK BERNAM,52227,3066,10430,12233,9054,7481,5580,3217,953,213,25696,26531
P. 093,SELANGOR,P. 093,SUNGAI BESAR,65224,3615,13740,15957,11370,9432,6562,3336,1019,193,32984,32240
P. 094,SELANGOR,P. 094,HULU SELANGOR,160038,12365,39717,33875,25526,23436,15948,6720,2071,380,79196,80842
P. 095,SELANGOR,P. 095,TANJONG KARANG,63060,3717,12954,14527,11499,9235,6593,3364,943,228,31628,31432
P. 096,SELANGOR,P. 096,KUALA SELANGOR,107655,8342,25788,23792,18408,15205,10149,4487,1184,300,53219,54436
P. 097,SELANGOR,P. 097,SELAYANG,190451,15550,46840,40783,31356,26562,19220,7711,2066,363,94366,96085
P. 098,SELANGOR,P. 098,GOMBAK,212831,13997,44468,48649,38147,28853,24162,11760,2438,357,105490,107341
P. 099,SELANGOR,P. 099,AMPANG,137322,8372,27880,29296,23928,20644,16738,7906,2214,344,67570,69752
P. 100,SELANGOR,P. 100,PANDAN,152657,8321,28875,34241,28046,24190,19217,7741,1827,199,75060,77597
P. 101,SELANGOR,P. 101,HULU LANGAT,177006,15225,44793,38268,28821,23749,17322,6793,1734,301,88493,88513
P. 102,SELANGOR,P. 102,BANGI,320971,26342,79943,69834,53756,43359,31741,12647,2967,382,158388,162583
P. 103,SELANGOR,P. 103,PUCHONG,160480,12296,36034,30978,30302,24715,16413,7460,2050,232,80142,80338
P. 104,SELANGOR,P. 104,SUBANG,241194,15053,49753,48300,41327,38757,31573,12960,3105,366,118766,122428
P. 105,SELANGOR,P. 105,PETALING JAYA,198391,10341,33904,39194,35371,31726,26338,15024,5185,1308,97792,100599
P. 106,SELANGOR,P. 106,DAMANSARA,245591,13381,42575,44837,44358,39219,32763,20418,6936,1104,119205,126386
P. 107,SELANGOR,P. 107,SUNGAI BULOH,168642,15717,44586,36003,28245,23298,14108,5279,1194,212,84341,84301
P. 108,SELANGOR,P. 108,SHAH ALAM,175634,14045,40364,38284,32002,23402,18125,7846,1351,215,87597,88037
P. 109,SELANGOR,P. 109,KAPAR,196686,15969,48965,43393,33792,27619,17688,7393,1561,306,97824,98862
P. 110,SELANGOR,P. 110,KLANG,212818,11788,38468,40300,39258,33646,28404,15429,4515,1010,105935,106883
P. 111,SELANGOR,P. 111,KOTA RAJA,258700,22626,65384,55135,45678,35943,22703,9080,1859,292,127438,131262
P. 112,SELANGOR,P. 112,KUALA LANGAT,155609,11772,35458,35005,28659,20904,14973,6554,1886,398,77355,78254
P. 113,SELANGOR,P. 113,SEPANG,179765,16421,44257,38485,31960,24055,15638,6591,1973,385,90121,89644
P. 114,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 114,KEPONG,93350,3800,13633,15149,16732,17732,14606,8442,2865,391,46861,46489
P. 115,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 115,BATU,115172,6518,22797,26305,20830,16136,13618,6549,1954,465,57335,57837
P. 116,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 116,WANGSA MAJU,120818,6160,22417,28992,22130,17393,15132,6673,1636,285,59544,61274
P. 117,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 117,SEGAMBUT,121246,6532,21354,25028,21676,18043,16130,9033,2771,679,58950,62296
P. 118,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 118,SETIAWANGSA,96345,5005,19193,24617,17559,13124,10976,4486,1125,260,49296,47049
P. 119,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 119,TITIWANGSA,80619,3894,13601,16971,13807,13247,11509,5476,1577,537,40204,40415
P. 120,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 120,BUKIT BINTANG,77145,2009,7579,10094,11900,14331,15712,10151,3824,1545,40486,36659
