STATE,GE14_PARLIAMENTARY_CODE,GE14_PARLIAMENTARY_NAME,GE14_TOTAL_ELECTORS,GE14_TOTAL_TURNOUT,GE14_NORMAL_VOTERS_PERCENT,GE14_MILITARY_VOTERS_PERCENT,GE14_POLICE_VOTERS_PERCENT,GE14_ABSENT_VOTERS_PERCENT,GE14_POSTAL_VOTER_SHARE_PERCENT,GE15_PARLIAMENTARY_CODE,GE15_PARLIAMENTARY_NAME,GE15_TOTAL_ELECTORS,GE15_TOTAL_TURNOUT,GE15_NORMAL_VOTERS_PERCENT,GE15_MILITARY_VOTERS_PERCENT,GE15_POLICE_VOTERS_PERCENT,GE15_ABSENT_VOTERS_PERCENT,GE15_POSTAL_VOTER_SHARE,NUMERICAL_GROWTH_OF_POSTAL_VOTERS_SINCE_GE14
KEDAH,P.011,PENDANG,74867,63371,99.73,0.00,0.26,0.01,2.07,P.011,PENDANG,94547,76381,99.81,0.00,0.18,0.00,2.56,647
KEDAH,P.012,JERAI,79976,66920,99.62,0.08,0.29,0.01,2.18,P.012,JERAI,105001,83294,99.73,0.05,0.21,0.01,2.53,643
KEDAH,P.013,SIK,50385,42772,99.62,0.00,0.38,0.00,2.30,P.013,SIK,63126,51659,99.74,0.00,0.26,0.00,2.28,197
KEDAH,P.014,MERBOK,87782,72708,93.46,5.98,0.54,0.03,2.49,P.014,MERBOK,132444,103779,96.17,3.57,0.25,0.01,3.29,1605
KEDAH,P.015,SUNGAI PETANI,112577,93847,99.84,0.00,0.14,0.02,1.91,P.015,SUNGAI PETANI,168847,131447,99.90,0.00,0.08,0.01,2.17,1056
KEDAH,P.016,BALING,107213,92128,99.65,0.00,0.34,0.01,1.87,P.016,BALING,132099,110353,99.77,0.00,0.22,0.01,2.36,880
KEDAH,P.017,PADANG SERAI,84834,71157,99.87,0.00,0.11,0.02,1.65,P.017,PADANG SERAI,133867,92302,99.93,0.00,0.06,0.01,0.91,-339
KEDAH,P.018,KULIM-BANDAR BAHARU,66587,55390,97.35,0.00,2.64,0.01,2.14,P.018,KULIM-BANDAR BAHARU,90141,71440,98.34,0.00,1.65,0.01,2.45,566
KELANTAN,P.019,TUMPAT,110924,88733,99.60,0.00,0.38,0.02,2.74,P.019,TUMPAT,149371,106173,99.72,0.00,0.27,0.01,2.73,470
KELANTAN,P.020,PENGKALAN CHEPA,75384,60862,95.83,2.29,1.85,0.03,3.19,P.020,PENGKALAN CHEPA,106982,78659,97.52,1.36,1.10,0.02,3.12,508
KELANTAN,P.021,KOTA BHARU,88708,68306,99.21,0.00,0.75,0.04,2.77,P.021,KOTA BHARU,115450,79028,99.24,0.00,0.74,0.02,2.76,294
KELANTAN,P.022,PASIR MAS,71222,55319,99.36,0.00,0.63,0.01,2.81,P.022,PASIR MAS,94544,66145,99.87,0.00,0.13,0.00,3.13,519
KELANTAN,P.023,RANTAU PANJANG,66115,49639,99.81,0.06,0.11,0.02,2.19,P.023,RANTAU PANJANG,93248,61406,99.56,0.04,0.38,0.02,2.74,594
KELANTAN,P.024,KUBANG KERIAN,82018,64867,99.87,0.00,0.11,0.02,2.96,P.024,KUBANG KERIAN,113640,82502,99.90,0.00,0.09,0.01,3.03,583
KELANTAN,P.025,BACHOK,92606,75945,99.71,0.00,0.28,0.01,2.94,P.025,BACHOK,123183,91192,99.79,0.00,0.20,0.01,2.91,418
KELANTAN,P.026,KETEREH,65238,54404,93.81,6.10,0.08,0.01,3.61,P.026,KETEREH,85281,64060,96.41,3.53,0.06,0.01,3.75,435
KELANTAN,P.027,TANAH MERAH,73172,59598,99.66,0.00,0.33,0.01,2.30,P.027,TANAH MERAH,98782,70471,99.71,0.00,0.28,0.01,2.71,538
KELANTAN,P.028,PASIR PUTEH,85411,69745,99.64,0.00,0.35,0.01,2.77,P.028,PASIR PUTEH,113070,82425,99.76,0.00,0.23,0.01,2.76,344
KELANTAN,P.029,MACHANG,68387,56320,99.56,0.05,0.39,0.01,2.35,P.029,MACHANG,88825,66024,99.69,0.01,0.29,0.01,2.67,434
