Negeri,PARLIAMENT SEAT (2018 - ),Area (sq km),NOTES
PERAK,P.064 IPOH TIMOR,43,AS per 2018 Gazetted Redelineation
PERAK,P.065 IPOH BARAT,37,AS per 2018 Gazetted Redelineation
PERAK,P.066 BATU GAJAH,216,AS per 2018 Gazetted Redelineation
PERAK,P.067 KUALA KANGSAR,576,AS per 2018 Gazetted Redelineation
PERAK,P.068 BERUAS,754,AS per 2018 Gazetted Redelineation
PERAK,P.069 PARIT,560,AS per 2018 Gazetted Redelineation
PERAK,P.070 KAMPAR,547,AS per 2018 Gazetted Redelineation
PERAK,P.071 GOPENG,577,AS per 2018 Gazetted Redelineation
PERAK,P.072 TAPAH,893,AS per 2018 Gazetted Redelineation
PERAK,P.073 PASIR SALAK,1064,AS per 2018 Gazetted Redelineation
PERAK,P.074 LUMUT,343,AS per 2018 Gazetted Redelineation
PERAK,P.075 BAGAN DATUK,635,AS per 2018 Gazetted Redelineation
PERAK,P.076 TELUK INTAN,774,AS per 2018 Gazetted Redelineation
PERAK,P.077 TANJONG MALIM,1882,AS per 2018 Gazetted Redelineation
PAHANG,P.078 CAMERON HIGHLANDS,3114,AS per 2018 Gazetted Redelineation
PAHANG,P.079 LIPIS,3004,AS per 2018 Gazetted Redelineation
PAHANG,P.080 RAUB,2296,AS per 2018 Gazetted Redelineation
PAHANG,P.081 JERANTUT,7273,AS per 2018 Gazetted Redelineation
PAHANG,P.082 INDERA MAHKOTA,392,AS per 2018 Gazetted Redelineation
PAHANG,P.083 KUANTAN,165,AS per 2018 Gazetted Redelineation
PAHANG,P.084 PAYA BESAR,2218,AS per 2018 Gazetted Redelineation
PAHANG,P.085 PEKAN,3846,AS per 2018 Gazetted Redelineation
PAHANG,P.086 MARAN,1609,AS per 2018 Gazetted Redelineation
PAHANG,P.087 KUALA KRAU,1391,AS per 2018 Gazetted Redelineation
PAHANG,P.088 TEMERLOH,1181,AS per 2018 Gazetted Redelineation
PAHANG,P.089 BENTONG,1866,AS per 2018 Gazetted Redelineation
PAHANG,P.090 BERA,2205,AS per 2018 Gazetted Redelineation
PAHANG,P.091 ROMPIN,5390,AS per 2018 Gazetted Redelineation
SELANGOR,P.092 SABAK BERNAM,344,AS per 2018 Gazetted Redelineation
SELANGOR,P.093 SUNGAI BESAR,639,AS per 2018 Gazetted Redelineation
SELANGOR,P.094 HULU SELANGOR,1712,AS per 2018 Gazetted Redelineation
SELANGOR,P.095 TANJONG KARANG,779,AS per 2018 Gazetted Redelineation
SELANGOR,P.096 KUALA SELANGOR,434,AS per 2018 Gazetted Redelineation
SELANGOR,P.097 SELAYANG,285,AS per 2018 Gazetted Redelineation
SELANGOR,P.098 GOMBAK,265,AS per 2018 Gazetted Redelineation
SELANGOR,P.099 AMPANG,51,AS per 2018 Gazetted Redelineation
SELANGOR,P.100 PANDAN,20,AS per 2018 Gazetted Redelineation
SELANGOR,P.101 HULU LANGAT,620,AS per 2018 Gazetted Redelineation
SELANGOR,P.102 BANGI,184,AS per 2018 Gazetted Redelineation
SELANGOR,P.103 PUCHONG,78,AS per 2018 Gazetted Redelineation
SELANGOR,P.104 SUBANG,69,AS per 2018 Gazetted Redelineation
SELANGOR,P.105 PETALING JAYA ,55,AS per 2018 Gazetted Redelineation
SELANGOR,P.106 DAMANSARA,65,AS per 2018 Gazetted Redelineation
SELANGOR,P.107 SUNGAI BULOH,133,AS per 2018 Gazetted Redelineation
SELANGOR,P.108 SHAH ALAM,140,AS per 2018 Gazetted Redelineation
SELANGOR,P.109 KAPAR,362,AS per 2018 Gazetted Redelineation
SELANGOR,P.110 KLANG,162,AS per 2018 Gazetted Redelineation
SELANGOR,P.111 KOTA RAJA,141,AS per 2018 Gazetted Redelineation
SELANGOR,P.112 KUALA LANGAT,582,AS per 2018 Gazetted Redelineation
SELANGOR,P.113 SEPANG,841,AS per 2018 Gazetted Redelineation
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.114 KEPONG,12,AS per 2018 Gazetted Redelineation
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.115 BATU,20,AS per 2018 Gazetted Redelineation
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.116 WANGSA MAJU,16,AS per 2018 Gazetted Redelineation
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.117 SEGAMBUT,51,AS per 2018 Gazetted Redelineation
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.118 SETIAWANGSA,16,AS per 2018 Gazetted Redelineation
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.119 TITIWANGSA,15,AS per 2018 Gazetted Redelineation
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.120 BUKIT BINTANG,21,AS per 2018 Gazetted Redelineation
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.121 LEMBAH PANTAI,20,AS per 2018 Gazetted Redelineation
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.122 SEPUTEH,31,AS per 2018 Gazetted Redelineation
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.123 CHERAS,16,AS per 2018 Gazetted Redelineation
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.124 BANDAR TUN RAZAK,25,AS per 2018 Gazetted Redelineation
WILAYAH PERSEKUTUAN PUTRAJAYA,P.125 PUTRAJAYA,49,AS per 2018 Gazetted Redelineation
NEGERI SEMBILAN,P.126 JELEBU,1717,AS per 2018 Gazetted Redelineation
NEGERI SEMBILAN,P.127 JEMPOL,1125,AS per 2018 Gazetted Redelineation
NEGERI SEMBILAN,P.128 SEREMBAN,493,AS per 2018 Gazetted Redelineation
NEGERI SEMBILAN,P.129 KUALA PILAH,1026,AS per 2018 Gazetted Redelineation
NEGERI SEMBILAN,P.130 RASAH,234,AS per 2018 Gazetted Redelineation
NEGERI SEMBILAN,P.131 REMBAU,635,AS per 2018 Gazetted Redelineation
NEGERI SEMBILAN,P.132 PORT DICKSON,571,AS per 2018 Gazetted Redelineation
NEGERI SEMBILAN,P.133 TAMPIN,861,AS per 2018 Gazetted Redelineation
MELAKA,P.134 MASJID TANAH,325,AS per 2018 Gazetted Redelineation
MELAKA,P.135 ALOR GAJAH,560,AS per 2018 Gazetted Redelineation
MELAKA,P.136 TANGGA BATU,121,AS per 2018 Gazetted Redelineation
MELAKA,P.137 HANG TUAH JAYA,116,AS per 2018 Gazetted Redelineation
MELAKA,P.138 KOTA MELAKA,66,AS per 2018 Gazetted Redelineation
MELAKA,P.139 JASIN,479,AS per 2018 Gazetted Redelineation
JOHOR,P.140 SEGAMAT,941,AS per 2018 Gazetted Redelineation
JOHOR,P.141 SEKIJANG,550,AS per 2018 Gazetted Redelineation
JOHOR,P.142 LABIS,1374,AS per 2018 Gazetted Redelineation
JOHOR,P.143 PAGOH,1258,AS per 2018 Gazetted Redelineation
JOHOR,P.144 LEDANG,653,AS per 2018 Gazetted Redelineation
JOHOR,P.145 BAKRI,191,AS per 2018 Gazetted Redelineation
JOHOR,P.146 MUAR,268,AS per 2018 Gazetted Redelineation
