UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,18 - 20,21 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 AND ABOVE,MALE ELECTORS,FEMALE ELECTORS,
P.179_N.36,SABAH,P.179,RANAU,N.36,KUNDASANG,24073,1923,5901,6130,4163,2578,1986,733,379,280,12151,11922,
P.179_N.37,SABAH,P.179,RANAU,N.37,KARANAAN,18594,1147,3588,4122,3454,2874,2182,768,292,167,9417,9177,
P.179_N.38,SABAH,P.179,RANAU,N.38,PAGINATAN,26091,2233,6584,6797,4582,2822,1844,755,275,199,13072,13019,
P.180_N.39,SABAH,P.180,KENINGAU,N.39,TAMBUNAN,28657,1917,7121,7503,4830,3488,2439,911,344,104,14251,14406,
P.180_N.40,SABAH,P.180,KENINGAU,N.40,BINGKOR,30375,2318,7060,7203,5375,4194,2704,985,297,239,15245,15130,
P.180_N.41,SABAH,P.180,KENINGAU,N.41,LIAWAN,31785,2680,8553,8248,4832,3531,2669,848,245,179,16136,15649,
P.181_N.42,SABAH,P.181,TENOM,N.42,MELALAP,20867,1445,4353,4775,3722,2902,2273,871,304,222,10540,10327,
P.181_N.43,SABAH,P.181,TENOM,N.43,KEMABONG,22397,1666,5057,5422,3910,3002,2047,631,358,304,11030,11367,
P.182_N.44,SABAH,P.182,PENSIANGAN,N.44,TULID,16469,1412,4211,4211,2682,1981,1190,439,213,130,8374,8095,
P.182_N.45,SABAH,P.182,PENSIANGAN,N.45,SOOK,19125,1693,5073,4791,2973,2153,1484,472,223,263,9684,9441,
P.182_N.46,SABAH,P.182,PENSIANGAN,N.46,NABAWAN,22797,2276,6633,5775,3314,2113,1375,571,321,419,11136,11661,
P.183_N.47,SABAH,P.183,BELURAN,N.47,TELUPID,14478,1251,3816,3541,2325,1852,1012,436,164,81,7373,7105,
P.183_N.48,SABAH,P.183,BELURAN,N.48,SUGUT,17955,1469,4489,4240,2878,2063,1534,692,377,213,9267,8688,
P.183_N.49,SABAH,P.183,BELURAN,N.49,LABUK,14155,1135,3379,3654,2535,1754,1109,412,123,54,7136,7019,
P.184_N.50,SABAH,P.184,LIBARAN,N.50,GUM-GUM,19177,1379,4401,4515,3606,2442,1710,714,244,166,10089,9088,
P.184_N.51,SABAH,P.184,LIBARAN,N.51,SUNGAI MANILA,17990,1344,4049,4160,3024,2574,1680,752,267,140,9445,8545,
P.184_N.52,SABAH,P.184,LIBARAN,N.52,SUNGAI SIBUGA,37787,3525,10446,9607,6243,3747,2691,1138,284,106,18943,18844,
P.185_N.53,SABAH,P.185,BATU SAPI,N.53,SEKONG,26393,2231,6874,6623,4165,2959,2116,958,292,175,13363,13030,
P.185_N.54,SABAH,P.185,BATU SAPI,N.54,KARAMUNTING,19299,939,3831,3970,3079,2905,2437,1262,514,362,10299,9000,
P.186_N.55,SABAH,P.186,SANDAKAN,N.55,ELOPURA,38787,2652,9197,9226,6367,4467,3897,1968,721,292,19535,19252,
P.186_N.56,SABAH,P.186,SANDAKAN,N.56,TANJONG PAPAT,16959,838,2726,2798,2550,2831,2845,1491,545,335,8586,8373,
P.187_N.57,SABAH,P.187,KINABATANGAN,N.57,KUAMUT,17777,1580,4777,4364,2789,1960,1371,505,253,178,9007,8770,
P.187_N.58,SABAH,P.187,KINABATANGAN,N.58,LAMAG,13035,1122,3298,3198,2348,1526,1016,339,111,77,6773,6262,
P.187_N.59,SABAH,P.187,KINABATANGAN,N.59,SUKAU,15870,1200,3654,3779,2648,2142,1490,589,180,188,8301,7569,
P.188_N.60,SABAH,P.188,LAHAD DATU,N.60,TUNGKU,23897,1995,6622,6672,3650,2464,1751,450,158,135,12471,11426,
P.188_N.61,SABAH,P.188,LAHAD DATU,N.61,SEGAMA,29180,2893,7987,7030,4383,3154,2310,936,280,207,15201,13979,
P.188_N.62,SABAH,P.188,LAHAD DATU,N.62,SILAM,27383,2041,6600,6989,4661,3295,2422,948,264,163,14176,13207,
P.188_N.63,SABAH,P.188,LAHAD DATU,N.63,KUNAK,24178,2131,6431,6134,3636,2606,2110,780,210,140,12324,11854,
P.189_N.64,SABAH,P.189,SEMPORNA,N.64,SULABAYAN,19644,1708,4398,4361,3408,2818,1766,517,277,391,9501,10143,
P.189_N.65,SABAH,P.189,SEMPORNA,N.65,SENALLANG,20364,1685,4801,4385,3694,2751,1918,663,257,210,10131,10233,
P.189_N.66,SABAH,P.189,SEMPORNA,N.66,BUGAYA,34601,3618,9733,8733,5372,3617,2279,722,291,236,17369,17232,
P.190_N.67,SABAH,P.190,TAWAU,N.67,BALUNG,21604,1813,4808,5244,3684,2603,2264,848,221,119,11016,10588,
P.190_N.68,SABAH,P.190,TAWAU,N.68,APAS,31304,2585,8146,7380,4775,3613,3060,1219,353,173,16222,15082,
P.190_N.69,SABAH,P.190,TAWAU,N.69,SRI TANJONG,37331,2232,7003,7345,6820,5608,4651,2499,821,352,19098,18233,
P.191_N.70,SABAH,P.191,KALABAKAN,N.70,KUKUSAN,18982,1226,4353,4610,3508,2314,1931,742,204,94,9974,9008,
P.191_N.71,SABAH,P.191,KALABAKAN,N.71,TANJUNG BATU,26447,2087,7055,7617,4372,2328,2035,716,204,33,13385,13062,
P.191_N.72,SABAH,P.191,KALABAKAN,N.72,MEROTAI,25371,2277,6607,6223,4118,2607,2214,877,299,149,13091,12280,
P.191_N.73,SABAH,P.191,KALABAKAN,N.73,SEBATIK,16319,1197,4161,4580,2641,1801,1301,373,121,144,8528,7791,
