UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS (AUGUST 2025),ELECTORS - ORDINARY VOTERS,ELECTORS - MILITARY,ELECTORS - POLICE,18 - 20,21 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 AND ABOVE,MALE ELECTORS,FEMALE ELECTORS
P. 194,SARAWAK,P. 194,PETRA JAYA,115259,114410,0,849,7960,25861,26482,19905,15994,11385,5601,1664,407,56605,58654
P. 195,SARAWAK,P. 195,BANDAR KUCHING,109632,108402,54,1176,3528,12941,16904,18084,18898,19794,13684,4640,1159,53272,56360
P. 196,SARAWAK,P. 196,STAMPIN,127218,123864,2305,1049,7984,26620,28569,24606,17857,12161,7029,2010,382,64161,63057
P. 197,SARAWAK,P. 197,KOTA SAMARAHAN,88283,83277,4774,232,7360,21505,20589,15612,11235,7117,3541,1117,207,44617,43666
P. 198,SARAWAK,P. 198,PUNCAK BORNEO,83121,82290,0,831,5053,16220,17608,14573,12986,9936,4956,1392,397,42053,41068
P. 199,SARAWAK,P. 199,SERIAN,67762,67560,0,202,4058,12611,14080,11584,11135,8571,4231,1179,313,34375,33387
P. 200,SARAWAK,P. 200,BATANG SADONG,33912,33792,0,120,2193,6364,7010,5563,5431,4288,2220,649,194,16773,17139
P. 201,SARAWAK,P. 201,BATANG LUPAR,44643,44618,0,25,2767,8527,9846,7387,7261,5161,2634,815,245,22314,22329
P. 202,SARAWAK,P. 202,SRI AMAN,52274,51165,354,755,3156,9939,10612,8288,8131,6854,3756,1232,306,26351,25923
P. 203,SARAWAK,P. 203,LUBOK ANTU,30152,30078,0,74,1850,5058,5796,5045,5209,3968,2245,699,282,15202,14950
P. 204,SARAWAK,P. 204,BETONG,43242,43094,0,148,2570,8146,9599,7055,6767,5169,2884,852,200,21634,21608
P. 205,SARAWAK,P. 205,SARATOK,46304,46168,0,136,2923,9106,9827,7401,7262,5767,3097,721,200,23125,23179
P. 206,SARAWAK,P. 206,TANJONG MANIS,33994,33988,0,6,2266,7106,7429,5926,5229,3603,1783,483,169,16962,17032
P. 207,SARAWAK,P. 207,IGAN,29231,29163,0,68,1909,6198,6653,4765,4323,3247,1611,430,95,14439,14792
P. 208,SARAWAK,P. 208,SARIKEI,57247,56870,0,377,3092,10210,11891,9938,9045,7129,4158,1345,439,28693,28554
P. 209,SARAWAK,P. 209,JULAU,36020,35949,0,71,2167,6830,7630,5949,6081,4131,2123,710,399,18353,17667
P. 210,SARAWAK,P. 210,KANOWIT,32050,31966,0,84,2035,5825,6785,5231,5087,3931,2105,740,311,15965,16085
P. 211,SARAWAK,P. 211,LANANG,90976,89025,1313,638,5293,17715,18835,15240,13703,11026,6588,1917,659,44892,46084
P. 212,SARAWAK,P. 212,SIBU,110424,107966,1890,568,6778,21852,24361,19650,16067,12428,6561,2081,646,54974,55450
P. 213,SARAWAK,P. 213,MUKAH,48763,48541,0,222,3184,10026,10337,8155,7515,5504,3032,839,171,24658,24105
P. 214,SARAWAK,P. 214,SELANGAU,48289,48205,0,84,3512,10004,10501,7861,7666,4907,2534,887,417,24415,23874
P. 215,SARAWAK,P. 215,KAPIT,47080,46921,0,159,3244,9208,10254,7851,7223,5074,2691,1074,461,23317,23763
P. 216,SARAWAK,P. 216,HULU RAJANG,45698,45626,0,72,3396,10010,9751,7307,6572,4661,2284,1057,660,23275,22423
P. 217,SARAWAK,P. 217,BINTULU,120245,119273,562,410,8896,27631,27432,18804,17577,12673,5380,1366,486,60993,59252
P. 218,SARAWAK,P. 218,SIBUTI,60522,59985,488,49,3735,13203,14673,10374,8052,6215,3282,774,214,31071,29451
P. 219,SARAWAK,P. 219,MIRI,150080,149026,0,1054,9808,31358,33161,25217,21131,17027,9118,2432,828,74643,75437
P. 220,SARAWAK,P. 220,BARAM,61697,61584,0,113,3805,11520,11918,10051,9927,7598,4093,1615,1170,31860,29837
P. 221,SARAWAK,P. 221,LIMBANG,43647,43254,0,393,2795,8663,9492,7474,6339,5292,2611,720,261,22244,21403
P. 222,SARAWAK,P. 222,LAWAS,35109,34982,0,127,2260,7469,7607,6025,5109,3875,1949,571,244,18147,16962
