UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS (AUGUST 2025),ELECTORS - ORDINARY VOTERS,ELECTORS - MILITARY,ELECTORS - POLICE,18 - 20,21 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 AND ABOVE,MALE ELECTORS,FEMALE ELECTORS
P. 045,PULAU PINANG,P. 045,BUKIT MERTAJAM,124594,124545,0,49,6630,23637,24879,22146,18881,15746,9467,2745,463,60875,63719
P. 046,PULAU PINANG,P. 046,BATU KAWAN,92017,91807,0,210,5223,18224,18090,16514,14589,11178,6111,1730,358,45092,46925
P. 047,PULAU PINANG,P. 047,NIBONG TEBAL,105027,104487,0,540,6948,22715,21944,18784,15919,11032,5820,1597,268,51136,53891
P. 048,PULAU PINANG,P. 048,BUKIT BENDERA,92112,91122,449,541,3188,11530,14649,14907,15764,15368,10998,4588,1120,43450,48662
P. 049,PULAU PINANG,P. 049,TANJONG,50511,49567,9,935,941,3894,6092,7148,9046,11222,7987,2656,1525,25517,24994
P. 050,PULAU PINANG,P. 050,JELUTONG,94607,93611,0,996,3831,13429,17244,16883,15258,14845,9464,2939,714,45481,49126
P. 051,PULAU PINANG,P. 051,BUKIT GELUGOR,118387,118289,17,81,5084,18566,22492,21946,19098,16365,10464,3660,712,56488,61899
P. 052,PULAU PINANG,P. 052,BAYAN BARU,123297,121413,1547,337,6209,21823,25920,22864,18950,15846,8882,2418,385,59824,63473
P. 053,PULAU PINANG,P. 053,BALIK PULAU,84754,83989,0,765,5527,17611,17663,14670,12878,9909,4803,1414,279,42211,42543
P. 054,PERAK,P. 054,GERIK,48600,46308,1323,969,3249,10998,12101,8552,5871,4666,2302,712,149,25367,23233
P. 055,PERAK,P. 055,LENGGONG,37330,37281,0,49,1993,6656,8952,7175,4886,4172,2529,779,188,18445,18885
P. 056,PERAK,P. 056,LARUT,66210,65991,0,219,3666,13182,15198,12348,9157,7019,4084,1305,251,32551,33659
P. 057,PERAK,P. 057,PARIT BUNTAR,67653,67567,0,86,3501,12808,13895,12884,10753,7704,4471,1320,317,33860,33793
P. 058,PERAK,P. 058,BAGAN SERAI,80662,80369,0,293,4697,16393,17705,14680,12174,8462,4739,1460,352,40042,40620
P. 059,PERAK,P. 059,BUKIT GANTANG,95207,95124,0,83,5098,18388,22041,17817,13085,11062,5898,1518,300,46913,48294
P. 060,PERAK,P. 060,TAIPING,120531,116605,3403,523,5105,20674,26766,21199,15850,15762,10783,3488,904,59189,61342
P. 061,PERAK,P. 061,PADANG RENGAS,38629,38591,0,38,1876,6820,8441,7024,5551,4838,2817,1011,251,19138,19491
P. 062,PERAK,P. 062,SUNGAI SIPUT,72583,72316,0,267,3680,13373,14674,13482,11093,8996,5175,1708,402,36135,36448
P. 063,PERAK,P. 063,TAMBUN,167193,162851,2028,2314,10950,36267,37812,29713,22344,18032,9354,2304,417,82611,84582
P. 064,PERAK,P. 064,IPOH TIMOR,116988,114207,600,2181,4141,15482,20042,20555,18189,17832,13585,5608,1554,57550,59438
P. 065,PERAK,P. 065,IPOH BARAT,113986,113192,491,303,4465,17407,20779,19617,18008,16789,11564,4158,1199,55702,58284
P. 066,PERAK,P. 066,BATU GAJAH,112358,111647,157,554,5323,19049,19875,20197,18459,15448,10019,3321,667,56596,55762
P. 067,PERAK,P. 067,KUALA KANGSAR,46773,46482,0,291,2304,8547,10308,8522,6547,5670,3385,1166,324,23020,23753
P. 068,PERAK,P. 068,BERUAS,108524,108335,0,189,5625,19370,22034,19768,16097,13603,8522,2810,695,54615,53909
P. 069,PERAK,P. 069,PARIT,48735,48303,82,350,2986,9693,10933,8589,6871,5661,2876,904,222,24155,24580
P. 070,PERAK,P. 070,KAMPAR,87756,87378,0,378,3817,13655,16169,15625,14221,12444,8035,2994,796,44363,43393
P. 071,PERAK,P. 071,GOPENG,147390,145994,1099,297,8611,30429,31208,25554,21040,17588,9483,2928,549,72749,74641
P. 072,PERAK,P. 072,TAPAH,62163,60663,630,870,3179,11321,13941,11382,8509,7631,4257,1521,422,31108,31055
P. 073,PERAK,P. 073,PASIR SALAK,75582,75513,0,69,4265,14956,17668,14285,10456,7683,4485,1448,336,37610,37972
P. 074,PERAK,P. 074,LUMUT,98022,87564,9907,551,6188,23315,23168,18268,11475,9736,4544,1066,262,51829,46193
P. 075,PERAK,P. 075,BAGAN DATUK,57730,57430,0,300,2602,9875,13873,11035,7850,6686,4199,1245,365,29119,28611
P. 076,PERAK,P. 076,TELUK INTAN,86662,86354,0,308,3881,15046,19369,15717,11573,11024,7150,2259,643,42351,44311
P. 077,PERAK,P. 077,TANJONG MALIM,94645,94199,39,407,4945,17142,21179,18898,12166,10385,7335,2053,542,47393,47252
P. 078,PAHANG,P. 078,CAMERON HIGHLANDS,47611,47273,106,232,3347,10303,10795,8248,6227,4772,2735,897,287,24091,23520
P. 079,PAHANG,P. 079,LIPIS,47670,47031,316,323,2702,9542,11475,8205,6191,5493,2792,1012,258,24136,23534
P. 080,PAHANG,P. 080,RAUB,75656,75295,27,334,3726,13244,17287,13784,10518,9488,5383,1848,378,38263,37393
P. 081,PAHANG,P. 081,JERANTUT,88426,88132,25,269,5523,17410,20880,17996,11639,7819,5432,1516,211,44264,44162
P. 082,PAHANG,P. 082,INDERA MAHKOTA,127567,125587,872,1108,10073,31591,29995,21407,15488,12373,5254,1174,212,63694,63873
P. 083,PAHANG,P. 083,KUANTAN,90236,88630,33,1573,5362,18523,19906,15136,12541,10761,5926,1690,391,45492,44744
P. 084,PAHANG,P. 084,PAYA BESAR,84001,83902,29,70,5975,18012,20307,15620,10382,8331,4117,1102,155,41653,42348
P. 085,PAHANG,P. 085,PEKAN,126062,117892,7733,437,8857,28415,33331,23900,14459,10639,4998,1176,287,64356,61706
P. 086,PAHANG,P. 086,MARAN,54271,54015,0,256,3354,10197,12038,11105,8401,4677,3083,1249,167,27155,27116
P. 087,PAHANG,P. 087,KUALA KRAU,61724,61687,0,37,3689,11246,14874,13855,7701,5094,4296,851,118,30459,31265
P. 088,PAHANG,P. 088,TEMERLOH,109883,107611,1712,560,6735,23935,27046,19213,13929,11397,5747,1548,333,55102,54781
P. 089,PAHANG,P. 089,BENTONG,87971,86659,935,377,4491,15797,18967,16528,12929,10552,6278,2062,367,44733,43238
P. 090,PAHANG,P. 090,BERA,77286,75312,1698,276,4425,14162,18725,15732,10235,7561,4904,1361,181,39017,38269
P. 091,PAHANG,P. 091,ROMPIN,92226,91589,289,348,5949,19026,25192,18374,9243,8803,4778,727,134,45850,46376
P. 092,SELANGOR,P. 092,SABAK BERNAM,52726,52662,2,62,3024,10197,12239,9478,7498,5740,3332,969,249,25896,26830
P. 093,SELANGOR,P. 093,SUNGAI BESAR,65796,65435,0,361,3448,13083,16218,11845,9483,6876,3591,1040,212,33188,32608
P. 094,SELANGOR,P. 094,HULU SELANGOR,164571,163328,262,981,12251,39472,35467,26735,23497,17134,7539,2022,454,81416,83155
P. 095,SELANGOR,P. 095,TANJONG KARANG,63789,63760,0,29,3662,12715,14488,11908,9353,6871,3641,935,216,31981,31808
P. 096,SELANGOR,P. 096,KUALA SELANGOR,110992,110616,0,376,8504,25825,24500,19303,15544,10760,5009,1233,314,54743,56249
P. 097,SELANGOR,P. 097,SELAYANG,196611,195636,66,909,15180,47281,42167,32788,27002,20809,8866,2100,418,97276,99335
P. 098,SELANGOR,P. 098,GOMBAK,217115,216662,213,240,13868,43713,49024,39907,29361,24973,13160,2707,402,107448,109667
P. 099,SELANGOR,P. 099,AMPANG,139674,139352,0,322,8138,27350,29544,24814,20805,17338,8972,2333,380,68634,71040
P. 100,SELANGOR,P. 100,PANDAN,155025,154571,0,454,8118,27965,33913,28992,24200,20354,9237,1996,250,76083,78942
P. 101,SELANGOR,P. 101,HULU LANGAT,183912,180584,0,3328,15250,45267,40057,30200,24299,18730,8016,1773,320,91809,92103
P. 102,SELANGOR,P. 102,BANGI,332644,331129,420,1095,25916,80268,72959,56397,44114,34293,15036,3203,458,164023,168621
P. 103,SELANGOR,P. 103,PUCHONG,165900,165580,32,288,12637,36282,31951,30731,25687,17576,8616,2145,275,82675,83225
P. 104,SELANGOR,P. 104,SUBANG,247870,246064,191,1615,14546,48890,49790,41997,39130,33792,15745,3537,443,121773,126097
P. 105,SELANGOR,P. 105,PETALING JAYA,200070,195553,3552,965,10233,33425,39141,35661,31936,26432,16426,5373,1443,98519,101551
P. 106,SELANGOR,P. 106,DAMANSARA,249037,248533,0,504,12903,42096,44770,44431,39970,33607,22374,7607,1279,120795,128242
P. 107,SELANGOR,P. 107,SUNGAI BULOH,175442,172948,1710,784,15627,45613,37603,29264,24228,15366,6241,1258,242,87572,87870
P. 108,SELANGOR,P. 108,SHAH ALAM,181385,179119,54,2212,14168,40857,39067,33454,24331,18575,9172,1527,234,90366,91019
P. 109,SELANGOR,P. 109,KAPAR,202252,201412,0,840,15472,49220,45015,35139,28272,18773,8370,1667,324,100452,101800
P. 110,SELANGOR,P. 110,KLANG,215224,214121,302,801,11743,37882,40171,39842,33857,28865,17050,4728,1086,106892,108332
P. 111,SELANGOR,P. 111,KOTA RAJA,268698,268662,0,36,22501,66262,57561,47232,37301,24711,10765,2040,325,132300,136398
P. 112,SELANGOR,P. 112,KUALA LANGAT,160284,159281,553,450,11971,35537,35427,30324,21515,15816,7330,1924,440,79652,80632
P. 113,SELANGOR,P. 113,SEPANG,187620,185907,83,1630,17051,45434,39757,33650,25039,16820,7443,2000,426,93941,93679
P. 114,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 114,KEPONG,92621,92338,0,283,3644,13101,15084,16627,17242,14622,8973,2911,417,46489,46132
P. 115,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 115,BATU,116221,113332,2210,679,6625,22325,26070,21855,16070,13642,7184,1955,495,57934,58287
P. 116,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 116,WANGSA MAJU,121213,118425,2492,296,6021,21283,28884,23049,17396,15139,7434,1705,302,59719,61494
P. 117,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 117,SEGAMBUT,122320,122099,0,221,6574,20832,24766,22434,18042,16086,9857,2970,759,59462,62858
P. 118,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 118,SETIAWANGSA,97400,86114,8612,2674,5011,18388,24736,18539,13049,11178,5038,1183,278,49752,47648
P. 119,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 119,TITIWANGSA,80522,78531,1771,220,3833,13080,16957,14018,13090,11443,5885,1644,572,40139,40383
P. 120,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 120,BUKIT BINTANG,74689,71962,0,2727,1934,7233,9711,11439,13766,14636,10602,3733,1635,39154,35535
P. 121,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 121,LEMBAH PANTAI,99790,91151,47,8592,4051,14094,21619,20017,16155,13480,7408,2382,584,51670,48120
P. 122,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 122,SEPUTEH,125364,124996,0,368,6394,20241,22529,22987,21098,16373,11083,3901,758,61010,64354
P. 123,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 123,CHERAS,97417,96346,0,1071,3668,13003,15669,17223,17425,15956,10309,3384,780,48503,48914
P. 124,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 124,BANDAR TUN RAZAK,122295,117450,4668,177,7559,24957,27068,23224,18147,12971,6651,1500,218,61094,61201
